snarl (n)	<img src="_snarl.JPG">	rosnado	o rosnado	u ʁuʒˈnadu	u ʁoʒˈnadu	sm	Som baixo e ameaçador de cães ou animais ferozes.		snarl	ˈsnɑrəl	ˈsnɑːl	n	A tangle or knot, or a growling sound made by an angry animal.	The director’s snarl warned everyone that rehearsals were not going well.<br>The Titan let out a deep snarl before lunging at the soldiers.	gruñido						grognement						Knurren						grunyit						ringhio												Curso::1C1::Vocabulary_Bank::Sounds_and_Human_Voice English::Vocabulary My-Choice::FanFics::Predatory-Love Vocabulary::Animals Vocabulary::Animals::English Vocabulary::AOT Vocabulary::My_Choice Vocabulary::Sounds Vocabulary::Speaking
hoof / hooves		casco / cascos	o casco / os cascos	u ˈkaʃku | uʃ ˈkaʃkuʃ	u ˈkasku | uʃ ˈkaskus	sm	Cobertura dura de animais como cavalos e tartarugas.		hoof / hooves	ˈhʊf | ˈhuvz	ˈhuːf | ˈhuːvz	n pl	The hard covering on the feet of horses, cows, and similar animals.	They have to shoe the horse’s hooves.	pezuña / pezuñas						sabot / sabots						Huf / Hufe						casc / cascs						zoccolo / zoccoli												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
inhumane conditions		condições desumanas	as condições desumanas	ɐʃ kõdiˈsõj̃ʒ dɨzuˈmɐnɐʃ	aʃ kõdʒiˈsõj̃s dezuˈmɐnas	sfp	Situação que desrespeita o bem-estar animal.		inhumane conditions	ˌɪnhjuˈmeɪn kənˈdɪʃənz	ˌɪnhjʊˈmeɪn kənˈdɪʃᵊnz	n pl	Describes living or working conditions that are cruel and cause suffering.	Chickens were transported in inhumane conditions.	condiciones inhumanas						conditions inhumaines						Unmenschliche Bedingungen						condicions inhumanes						condizioni disumane												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
bark		latido	o latido	u lɐˈtidu	u laˈtʃidu	sm	Som emitido por cães para comunicar ou alertar.		bark	ˈbɑrk	ˈbɑːk	v	The loud sound made by a dog.	The dog is barking . There might be someone at the door.	ladrido						aboiement						Bellen						lladruc						abbaio												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
grunt		grunhido	o grunhido	u ɡɾuˈɲidu	u ɡɾuˈɲidu	sm	Som rouco e baixo emitido por certos animais.		grunt	ˈɡɹənt	ˈɡrʌnt	v	The low, rough sound made by pigs or other animals.	The pigs grunted and everybody laughed.	grunido						grognement						Grunzen						gruixit						grugnito												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
meow		miar	miar	miˈaɾ	miˈaʁ	v	Som emitido pelos gatos.		meow	miˈaʊ	ˌmiːˈaʊ	v	The sound made by a cat.	I can hear the cat meowing from here.	maullar						miauler						Miauen						miolar						miagolare												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
neigh		relinchar	relinchar	ʁɨlĩˈʃaɾ	ʁelĩˈʃaʁ	v	Som alto e prolongado emitido por cavalos.		neigh	ˈneɪ	ˈneɪ	v	The high-pitched sound made by a horse.	The horse neighed when it saw me.	relinchar						hennir						Wiehern						rinyolar						nitrire												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
protect		proteger	proteger	pɾutɨˈʒeɾ	pɾoteˈʒeʁ	v	Preservar ou manter a salvo.		protect	pɹəˈtʰɛkt	prəˈtʰekt	v	To keep someone or something safe from harm.	This organization is trying to protect animals.	proteger						protéger						schützen						protegir						proteggere												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
reintroduce		reintroduzir	reintroduzir	ʁɐjntɾuduˈziɾ	ʁejntɾoduˈziʁ	v	Reintroduzir um animal em seu habitat natural.		reintroduce	ˌɹiɪntɹəˈdus	ˌriːɪntrəˈdjuːs	v	To return an animal to its natural habitat after it has been bred or kept elsewhere.	They’ll try to reintroduce the bear into the wild.	reintroducir						réintroduire						Wiedereinführung						reintroduir						reintrodurre												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
roar (animal)		rugido	o rugido	u ʁuˈʒidu	u ʁuˈʒidu	sm	Som alto e feroz de animais, especialmente leões.		roar	ˈɹɔr	ˈrɔː	v	The loud, deep sound made by a lion or other large animal.	We heard a lion roar in the reserve. It’s a really scary sound!	rugido						rugissement						Brüllen						rogit						ruggito												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
squeak		guincho	o guincho	u ˈɡĩʃu	u ˈɡĩʃu	sm	Som agudo emitido por aves ou animais pequenos.		squeak	ˈskwik	ˈskwiːk	v	A high-pitched sound made by mice or small creatures.	Oh no! I think I heard a mouse squeak .	chirrido						couinement						Quietschen						xiulet						squittio												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
treat cruelly		maltratar	maltratar	maɫtɾɐˈtaɾ	mawtɾaˈtaʁ	v	Tratar um animal com crueldade ou negligência.		treat cruelly	ˈtɹit ˈkɹuli	ˈtriːt ˈkruːəli	v	To cause suffering or pain to animals or people.	Some people treat animals cruelly .	maltratar						maltraiter						grausam behandeln						maltractar						maltrattare												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
twitter		piar	piar	piˈaɾ	piˈaʁ	v	Som emitido por aves pequenas.		twitter	ˈtwɪtə˞	ˈtwɪtə	v	The high-pitched sounds made by birds.	I love to hear the birds twitter in the garden.	gorjear						piailler						Zwitschern						piular						cinguettare												Curso::1C1::File_9 Curso::1C1::Vocabulary_Bank::Animal_Matters English English::Vocabulary Portugues::VOC Vocabulary::Animals Vocabulary::Animals::English
grazing (v)	<img src="_grazing.JPG">	pastoreio	o pastoreio	u pɐʃtuˈɾɐju	u pastoˈɾeju	sm	Prática de pastorear rebanhos.		grazing	ˈɡɹeɪzɪŋ	ˈɡreɪzɪŋ	v	Eating small amounts of food continuously.	He gestures towards the foliage, and Mikasa sees a large buck grazing a few meters away.	pastoreo						pâturage						Weiden						pasturatge						pascolo												English::Vocabulary My-Choice::FanFics::Lost-in-the-Cosmos-Lonely My-Choice::FanFics::Titan-Eren Vocabulary::Animals Vocabulary::Animals::English Vocabulary::AOT Vocabulary::Deer Vocabulary::Domestic_Animals Vocabulary::Farm_Animals Vocabulary::Horses Vocabulary::My_Choice Vocabulary::Nature
weevils	<img src="_weevil_gorgojo.JPG">	gorgulhos	os gorgulhos	uʒ ɡuɾˈɡuʎuʃ	uʒ ɡoʁˈɡuʎus	smp	Insetos pequenos que atacam grãos e alimentos armazenados.		weevils	ˈwivəlz	ˈwiːvᵊlz	np	Small beetles known for their elongated snouts, often harmful to crops and stored grains due to their feeding habits.		gorgojos						charançon						Rüsselkäfer						cuc						tonchi												Portugues::VOC::Animais Vocabulary::Animals Vocabulary::Animals::Basic Vocabulary::Animals::English Vocabulary::Insects
